X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0
0.002076923,0,0.027,0.8540169,0.027,-0.2497597,0.027,0.0886244,0.002076923,0,0.027,0.9587549,0.027,0.1248798,0.027,0.2981002
0.002596154,0,0.03375,0.8540169,0.03375,-0.2497597,0.03375,0.09265278,0.002596154,0,0.03375,0.9506981,0.03375,0.1248798,0.03375,0.2981002
0.003115385,0,0.0405,0.8499885,0.0405,-0.2417029,0.0405,0.0886244,0.003115385,0,0.0405,0.9506981,0.0405,0.1289082,0.0405,0.2981002
0.003634615,0,0.04725,0.8499885,0.04725,-0.2457313,0.04725,0.0886244,0.003634615,0,0.04725,0.9506981,0.04725,0.1329366,0.04725,0.2981002
0.004153846,0,0.054,0.8580453,0.054,-0.2457313,0.054,0.08056764,0.004153846,0,0.054,0.9466697,0.054,0.1289082,0.054,0.2981002
0.004673077,0,0.06075,0.8620737,0.06075,-0.2457313,0.06075,0.08056764,0.004673077,0,0.06075,0.9466697,0.06075,0.1289082,0.06075,0.2981002
0.005192308,0,0.0675,0.8580453,0.0675,-0.2537881,0.0675,0.08056764,0.005192308,0,0.0675,0.9547265,0.0675,0.1289082,0.0675,0.3021286
0.005711539,0,0.07425,0.8580453,0.07425,-0.2457313,0.07425,0.08459602,0.005711539,0,0.07425,0.9587549,0.07425,0.1289082,0.07425,0.306157
0.006230769,0,0.081,0.8620737,0.081,-0.2376745,0.081,0.0886244,0.006230769,0,0.081,0.9668117,0.081,0.1329366,0.081,0.3101854
0.00675,0,0.08775,0.8620737,0.08775,-0.2376745,0.08775,0.08056764,0.00675,0,0.08775,0.9587549,0.08775,0.1289082,0.08775,0.3021286
0.007269231,0,0.0945,0.8620737,0.0945,-0.2376745,0.0945,0.08056764,0.007269231,0,0.0945,0.9547265,0.0945,0.136965,0.0945,0.3021286
0.007788462,0,0.10125,0.8620737,0.10125,-0.2417029,0.10125,0.07653925,0.007788462,0,0.10125,0.9547265,0.10125,0.1329366,0.10125,0.306157
0.008307693,0,0.108,0.8580453,0.108,-0.2376745,0.108,0.0886244,0.008307693,0,0.108,0.9587549,0.108,0.136965,0.108,0.3101854
0.008826924,0,0.11475,0.8540169,0.11475,-0.2417029,0.11475,0.08056764,0.008826924,0,0.11475,0.9627832,0.11475,0.1329366,0.11475,0.3101854
0.009346154,0,0.1215,0.8540169,0.1215,-0.2417029,0.1215,0.07653925,0.009346154,0,0.1215,0.9547265,0.1215,0.136965,0.1215,0.306157
0.009865385,0,0.12825,0.8540169,0.12825,-0.2296178,0.12825,0.07653925,0.009865385,0,0.12825,0.9506981,0.12825,0.1329366,0.12825,0.3142138
0.01038462,0,0.135,0.8580453,0.135,-0.2376745,0.135,0.08056764,0.01038462,0,0.135,0.9466697,0.135,0.1329366,0.135,0.3101854
0.01090385,0,0.14175,0.8620737,0.14175,-0.2457313,0.14175,0.07653925,0.01090385,0,0.14175,0.9547265,0.14175,0.1289082,0.14175,0.306157
0.01142308,0,0.1485,0.866102,0.1485,-0.2376745,0.1485,0.0886244,0.01142308,0,0.1485,0.9547265,0.1485,0.1208515,0.1485,0.306157
0.01194231,0,0.15525,0.8620737,0.15525,-0.2457313,0.15525,0.0886244,0.01194231,0,0.15525,0.9587549,0.15525,0.1248798,0.15525,0.3142138
0.01246154,0,0.162,0.8580453,0.162,-0.2336462,0.162,0.08056764,0.01246154,0,0.162,0.9506981,0.162,0.1289082,0.162,0.3021286
0.01298077,0,0.16875,0.8580453,0.16875,-0.2417029,0.16875,0.07653925,0.01298077,0,0.16875,0.9547265,0.16875,0.1248798,0.16875,0.2981002
0.0135,0,0.1755,0.8620737,0.1755,-0.2457313,0.1755,0.09265278,0.0135,0,0.1755,0.9506981,0.1755,0.1248798,0.1755,0.306157
0.01401923,0,0.18225,0.8580453,0.18225,-0.2497597,0.18225,0.08459602,0.01401923,0,0.18225,0.9587549,0.18225,0.1248798,0.18225,0.306157
0.01453846,0,0.189,0.8580453,0.189,-0.2497597,0.189,0.08459602,0.01453846,0,0.189,0.9506981,0.189,0.1329366,0.189,0.3021286
0.01505769,0,0.19575,0.8620737,0.19575,-0.2497597,0.19575,0.08056764,0.01505769,0,0.19575,0.9587549,0.19575,0.1289082,0.19575,0.2981002
0.01557692,0,0.2025,0.8620737,0.2025,-0.2457313,0.2025,0.09265278,0.01557692,0,0.2025,0.9547265,0.2025,0.1329366,0.2025,0.3021286
0.01609615,0,0.20925,0.866102,0.20925,-0.2417029,0.20925,0.09265278,0.01609615,0,0.20925,0.9627832,0.20925,0.1289082,0.20925,0.2940719
0.01661539,0,0.216,0.8499885,0.216,-0.2457313,0.216,0.0886244,0.01661539,0,0.216,0.9547265,0.216,0.1329366,0.216,0.2981002
0.01713462,0,0.22275,0.8580453,0.22275,-0.2457313,0.22275,0.08459602,0.01713462,0,0.22275,0.9506981,0.22275,0.1248798,0.22275,0.2981002
0.01765385,0,0.2295,0.8540169,0.2295,-0.2376745,0.2295,0.0886244,0.01765385,0,0.2295,0.9466697,0.2295,0.1289082,0.2295,0.2981002
0.01817308,0,0.23625,0.8580453,0.23625,-0.2417029,0.23625,0.09265278,0.01817308,0,0.23625,0.9506981,0.23625,0.1248798,0.23625,0.2940719
0.01869231,0,0.243,0.8620737,0.243,-0.2457313,0.243,0.08459602,0.01869231,0,0.243,0.9547265,0.243,0.1329366,0.243,0.306157
