X[s],"L GASTROCNEMIUS LATERAL HEAD: EMG 11",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.X",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Y",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Z",X[s],"L GASTROCNEMIUS MEDIAL HEAD: EMG 12",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.X",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Y",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Z",X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0
0.002076923,0,0.027,0.8620737,0.027,0.6405127,0.027,0.1732204,0.002076923,0,0.027,0.866102,0.027,-0.2537881,0.027,0.09265278,0.002076923,0,0.027,0.08459602,0.027,0.801648,0.027,0.8862439,0.002076923,0,0.027,-0.27393,0.027,-0.7251087,0.027,0.8540169
0.002596154,0,0.03375,0.8620737,0.03375,0.6445411,0.03375,0.1732204,0.002596154,0,0.03375,0.8741588,0.03375,-0.2537881,0.03375,0.09265278,0.002596154,0,0.03375,0.08459602,0.03375,0.8056763,0.03375,0.8862439,0.002596154,0,0.03375,-0.27393,0.03375,-0.7210803,0.03375,0.8459601
0.003115385,0,0.0405,0.8620737,0.0405,0.6405127,0.0405,0.1732204,0.003115385,0,0.0405,0.8701304,0.0405,-0.2497597,0.0405,0.09668116,0.003115385,0,0.0405,0.08056764,0.0405,0.7976196,0.0405,0.8781872,0.003115385,0,0.0405,-0.27393,0.0405,-0.7210803,0.0405,0.8459601
0.003634615,0,0.04725,0.8620737,0.04725,0.6324559,0.04725,0.1732204,0.003634615,0,0.04725,0.866102,0.04725,-0.2497597,0.04725,0.09668116,0.003634615,0,0.04725,0.08459602,0.04725,0.7976196,0.04725,0.8822156,0.003634615,0,0.04725,-0.27393,0.04725,-0.7251087,0.04725,0.8459601
0.004153846,0,0.054,0.8580453,0.054,0.6364843,0.054,0.1611353,0.004153846,0,0.054,0.8741588,0.054,-0.2537881,0.054,0.09668116,0.004153846,0,0.054,0.08459602,0.054,0.801648,0.054,0.8822156,0.004153846,0,0.054,-0.2658732,0.054,-0.7210803,0.054,0.8499885
0.004673077,0,0.06075,0.8701304,0.06075,0.6324559,0.06075,0.1651637,0.004673077,0,0.06075,0.8620737,0.06075,-0.2537881,0.06075,0.0886244,0.004673077,0,0.06075,0.08056764,0.06075,0.8056763,0.06075,0.8862439,0.004673077,0,0.06075,-0.27393,0.06075,-0.7210803,0.06075,0.8499885
0.005192308,0,0.0675,0.8620737,0.0675,0.6364843,0.0675,0.1571069,0.005192308,0,0.0675,0.8701304,0.0675,-0.2537881,0.0675,0.1047379,0.005192308,0,0.0675,0.08459602,0.0675,0.801648,0.0675,0.8781872,0.005192308,0,0.0675,-0.2699016,0.0675,-0.7251087,0.0675,0.8419318
0.005711539,0,0.07425,0.8580453,0.07425,0.6405127,0.07425,0.1651637,0.005711539,0,0.07425,0.8741588,0.07425,-0.2537881,0.07425,0.1007095,0.005711539,0,0.07425,0.08459602,0.07425,0.801648,0.07425,0.8741588,0.005711539,0,0.07425,-0.2658732,0.07425,-0.7210803,0.07425,0.8540169
0.006230769,0,0.081,0.8620737,0.081,0.6284276,0.081,0.1611353,0.006230769,0,0.081,0.8701304,0.081,-0.2497597,0.081,0.0886244,0.006230769,0,0.081,0.08459602,0.081,0.7976196,0.081,0.8781872,0.006230769,0,0.081,-0.2699016,0.081,-0.7251087,0.081,0.8499885
0.00675,0,0.08775,0.8701304,0.08775,0.6364843,0.08775,0.1611353,0.00675,0,0.08775,0.8701304,0.08775,-0.2497597,0.08775,0.09668116,0.00675,0,0.08775,0.0886244,0.08775,0.801648,0.08775,0.8781872,0.00675,0,0.08775,-0.2779583,0.08775,-0.7210803,0.08775,0.8499885
0.007269231,0,0.0945,0.8580453,0.0945,0.6324559,0.0945,0.1611353,0.007269231,0,0.0945,0.8741588,0.0945,-0.2618448,0.0945,0.09668116,0.007269231,0,0.0945,0.0886244,0.0945,0.7976196,0.0945,0.8822156,0.007269231,0,0.0945,-0.27393,0.0945,-0.7291371,0.0945,0.8459601
0.007788462,0,0.10125,0.8540169,0.10125,0.6364843,0.10125,0.1530785,0.007788462,0,0.10125,0.8741588,0.10125,-0.2618448,0.10125,0.08459602,0.007788462,0,0.10125,0.08459602,0.10125,0.7976196,0.10125,0.8741588,0.007788462,0,0.10125,-0.2779583,0.10125,-0.7251087,0.10125,0.8499885
0.008307693,0,0.108,0.866102,0.108,0.6324559,0.108,0.1651637,0.008307693,0,0.108,0.8741588,0.108,-0.2578164,0.108,0.09265278,0.008307693,0,0.108,0.09265278,0.108,0.7976196,0.108,0.8822156,0.008307693,0,0.108,-0.27393,0.108,-0.7251087,0.108,0.8540169
0.008826924,0,0.11475,0.866102,0.11475,0.6284276,0.11475,0.169192,0.008826924,0,0.11475,0.8701304,0.11475,-0.2457313,0.11475,0.1007095,0.008826924,0,0.11475,0.09265278,0.11475,0.8056763,0.11475,0.8862439,0.008826924,0,0.11475,-0.2779583,0.11475,-0.7291371,0.11475,0.8499885
0.009346154,0,0.1215,0.8701304,0.1215,0.6324559,0.1215,0.1611353,0.009346154,0,0.1215,0.866102,0.1215,-0.2578164,0.1215,0.08459602,0.009346154,0,0.1215,0.0886244,0.1215,0.8056763,0.1215,0.8902723,0.009346154,0,0.1215,-0.2699016,0.1215,-0.7291371,0.1215,0.8540169
0.009865385,0,0.12825,0.8620737,0.12825,0.6364843,0.12825,0.1611353,0.009865385,0,0.12825,0.8741588,0.12825,-0.2537881,0.12825,0.08459602,0.009865385,0,0.12825,0.08056764,0.12825,0.8056763,0.12825,0.8822156,0.009865385,0,0.12825,-0.27393,0.12825,-0.7210803,0.12825,0.8459601
0.01038462,0,0.135,0.8580453,0.135,0.6405127,0.135,0.169192,0.01038462,0,0.135,0.8741588,0.135,-0.2537881,0.135,0.0886244,0.01038462,0,0.135,0.0886244,0.135,0.8097047,0.135,0.8781872,0.01038462,0,0.135,-0.27393,0.135,-0.7251087,0.135,0.8540169
0.01090385,0,0.14175,0.866102,0.14175,0.6364843,0.14175,0.1732204,0.01090385,0,0.14175,0.8822156,0.14175,-0.2578164,0.14175,0.09668116,0.01090385,0,0.14175,0.0886244,0.14175,0.8056763,0.14175,0.8781872,0.01090385,0,0.14175,-0.27393,0.14175,-0.7251087,0.14175,0.8459601
0.01142308,0,0.1485,0.8620737,0.1485,0.6405127,0.1485,0.1651637,0.01142308,0,0.1485,0.8701304,0.1485,-0.2457313,0.1485,0.09668116,0.01142308,0,0.1485,0.08459602,0.1485,0.8056763,0.1485,0.8862439,0.01142308,0,0.1485,-0.27393,0.1485,-0.7251087,0.1485,0.8499885
0.01194231,0,0.15525,0.8580453,0.15525,0.6405127,0.15525,0.1530785,0.01194231,0,0.15525,0.8701304,0.15525,-0.2537881,0.15525,0.08459602,0.01194231,0,0.15525,0.08459602,0.15525,0.8056763,0.15525,0.8862439,0.01194231,0,0.15525,-0.2779583,0.15525,-0.7210803,0.15525,0.8459601
0.01246154,0,0.162,0.8620737,0.162,0.6324559,0.162,0.1651637,0.01246154,0,0.162,0.8781872,0.162,-0.2578164,0.162,0.0886244,0.01246154,0,0.162,0.08459602,0.162,0.7976196,0.162,0.8862439,0.01246154,0,0.162,-0.27393,0.162,-0.7331654,0.162,0.8499885
0.01298077,0,0.16875,0.866102,0.16875,0.6324559,0.16875,0.1611353,0.01298077,0,0.16875,0.8741588,0.16875,-0.2618448,0.16875,0.0886244,0.01298077,0,0.16875,0.08459602,0.16875,0.7935912,0.16875,0.8781872,0.01298077,0,0.16875,-0.2779583,0.16875,-0.7291371,0.16875,0.8459601
0.0135,0,0.1755,0.8620737,0.1755,0.6324559,0.1755,0.169192,0.0135,0,0.1755,0.8701304,0.1755,-0.2537881,0.1755,0.09265278,0.0135,0,0.1755,0.08459602,0.1755,0.7976196,0.1755,0.8822156,0.0135,0,0.1755,-0.2658732,0.1755,-0.7251087,0.1755,0.8499885
0.01401923,0,0.18225,0.8701304,0.18225,0.6324559,0.18225,0.1611353,0.01401923,0,0.18225,0.8741588,0.18225,-0.2658732,0.18225,0.09265278,0.01401923,0,0.18225,0.08056764,0.18225,0.7976196,0.18225,0.8862439,0.01401923,0,0.18225,-0.27393,0.18225,-0.7251087,0.18225,0.8419318
0.01453846,0,0.189,0.866102,0.189,0.6364843,0.189,0.169192,0.01453846,0,0.189,0.8701304,0.189,-0.2578164,0.189,0.0886244,0.01453846,0,0.189,0.0886244,0.189,0.7976196,0.189,0.8862439,0.01453846,0,0.189,-0.27393,0.189,-0.7210803,0.189,0.8459601
0.01505769,0,0.19575,0.8580453,0.19575,0.6405127,0.19575,0.1611353,0.01505769,0,0.19575,0.8741588,0.19575,-0.2618448,0.19575,0.09265278,0.01505769,0,0.19575,0.08459602,0.19575,0.801648,0.19575,0.8781872,0.01505769,0,0.19575,-0.2779583,0.19575,-0.7251087,0.19575,0.8499885
0.01557692,0,0.2025,0.8580453,0.2025,0.6364843,0.2025,0.1571069,0.01557692,0,0.2025,0.8781872,0.2025,-0.2578164,0.2025,0.09668116,0.01557692,0,0.2025,0.08056764,0.2025,0.7976196,0.2025,0.8862439,0.01557692,0,0.2025,-0.2779583,0.2025,-0.7371938,0.2025,0.8459601
0.01609615,0,0.20925,0.8580453,0.20925,0.6324559,0.20925,0.1611353,0.01609615,0,0.20925,0.8781872,0.20925,-0.2578164,0.20925,0.09265278,0.01609615,0,0.20925,0.08056764,0.20925,0.801648,0.20925,0.8862439,0.01609615,0,0.20925,-0.27393,0.20925,-0.7291371,0.20925,0.8540169
0.01661539,0,0.216,0.8620737,0.216,0.6364843,0.216,0.1611353,0.01661539,0,0.216,0.866102,0.216,-0.2578164,0.216,0.09265278,0.01661539,0,0.216,0.09265278,0.216,0.8056763,0.216,0.8741588,0.01661539,0,0.216,-0.2699016,0.216,-0.7291371,0.216,0.8499885
0.01713462,0,0.22275,0.8540169,0.22275,0.6324559,0.22275,0.1611353,0.01713462,0,0.22275,0.8741588,0.22275,-0.2537881,0.22275,0.09265278,0.01713462,0,0.22275,0.0886244,0.22275,0.8056763,0.22275,0.8862439,0.01713462,0,0.22275,-0.27393,0.22275,-0.7251087,0.22275,0.8580453
0.01765385,0,0.2295,0.8620737,0.2295,0.6324559,0.2295,0.1611353,0.01765385,0,0.2295,0.8781872,0.2295,-0.2537881,0.2295,0.08459602,0.01765385,0,0.2295,0.07653925,0.2295,0.801648,0.2295,0.8902723,0.01765385,0,0.2295,-0.2699016,0.2295,-0.7291371,0.2295,0.8540169
0.01817308,0,0.23625,0.8701304,0.23625,0.6324559,0.23625,0.1651637,0.01817308,0,0.23625,0.8781872,0.23625,-0.2537881,0.23625,0.09265278,0.01817308,0,0.23625,0.08056764,0.23625,0.801648,0.23625,0.8862439,0.01817308,0,0.23625,-0.2658732,0.23625,-0.7251087,0.23625,0.8499885
0.01869231,0,0.243,0.866102,0.243,0.6445411,0.243,0.1732204,0.01869231,0,0.243,0.8781872,0.243,-0.2537881,0.243,0.0886244,0.01869231,0,0.243,0.0886244,0.243,0.801648,0.243,0.8822156,0.01869231,0,0.243,-0.2699016,0.243,-0.7210803,0.243,0.8419318
0.01921154,0,0.24975,0.8620737,0.24975,0.6445411,0.24975,0.1651637,0.01921154,0,0.24975,0.8741588,0.24975,-0.2578164,0.24975,0.09265278,0.01921154,0,0.24975,0.08459602,0.24975,0.801648,0.24975,0.8822156,0.01921154,0,0.24975,-0.2779583,0.24975,-0.7291371,0.24975,0.8499885
0.01973077,0,0.2565,0.8580453,0.2565,0.6364843,0.2565,0.169192,0.01973077,0,0.2565,0.8741588,0.2565,-0.2537881,0.2565,0.09265278,0.01973077,0,0.2565,0.08459602,0.2565,0.7976196,0.2565,0.8902723,0.01973077,0,0.2565,-0.27393,0.2565,-0.7210803,0.2565,0.8540169
0.02025,0,0.26325,0.8620737,0.26325,0.6405127,0.26325,0.169192,0.02025,0,0.26325,0.8741588,0.26325,-0.2497597,0.26325,0.09265278,0.02025,0,0.26325,0.08459602,0.26325,0.801648,0.26325,0.8902723,0.02025,0,0.26325,-0.27393,0.26325,-0.7291371,0.26325,0.8459601
0.02076923,0,0.27,0.8540169,0.27,0.6405127,0.27,0.1732204,0.02076923,0,0.27,0.8701304,0.27,-0.2457313,0.27,0.0886244,0.02076923,0,0.27,0.0886244,0.27,0.801648,0.27,0.8862439,0.02076923,0,0.27,-0.2699016,0.27,-0.7251087,0.27,0.8540169
0.02128846,0,0.27675,0.8580453,0.27675,0.6405127,0.27675,0.1651637,0.02128846,0,0.27675,0.866102,0.27675,-0.2497597,0.27675,0.09265278,0.02128846,0,0.27675,0.0886244,0.27675,0.801648,0.27675,0.8862439,0.02128846,0,0.27675,-0.2779583,0.27675,-0.7371938,0.27675,0.8499885
0.02180769,0,0.2835,0.866102,0.2835,0.6284276,0.2835,0.1611353,0.02180769,0,0.2835,0.8701304,0.2835,-0.2537881,0.2835,0.09668116,0.02180769,0,0.2835,0.09265278,0.2835,0.801648,0.2835,0.8902723,0.02180769,0,0.2835,-0.2819867,0.2835,-0.7251087,0.2835,0.8499885
0.02232692,0,0.29025,0.8620737,0.29025,0.6324559,0.29025,0.1611353,0.02232692,0,0.29025,0.8701304,0.29025,-0.2497597,0.29025,0.0886244,0.02232692,0,0.29025,0.08459602,0.29025,0.7976196,0.29025,0.8741588,0.02232692,0,0.29025,-0.2658732,0.29025,-0.7291371,0.29025,0.8499885
0.02284615,0,0.297,0.8620737,0.297,0.6364843,0.297,0.1651637,0.02284615,0,0.297,0.8701304,0.297,-0.2497597,0.297,0.09265278,0.02284615,0,0.297,0.08056764,0.297,0.7976196,0.297,0.8822156,0.02284615,0,0.297,-0.2699016,0.297,-0.7130235,0.297,0.8580453
0.02336538,0,0.30375,0.8580453,0.30375,0.6405127,0.30375,0.169192,0.02336538,0,0.30375,0.8701304,0.30375,-0.2537881,0.30375,0.09265278,0.02336538,0,0.30375,0.08459602,0.30375,0.8056763,0.30375,0.8862439,0.02336538,0,0.30375,-0.2699016,0.30375,-0.7130235,0.30375,0.8499885
0.02388461,0,0.3105,0.866102,0.3105,0.6324559,0.3105,0.169192,0.02388461,0,0.3105,0.8741588,0.3105,-0.2618448,0.3105,0.09668116,0.02388461,0,0.3105,0.0886244,0.3105,0.8056763,0.3105,0.8822156,0.02388461,0,0.3105,-0.27393,0.3105,-0.7170519,0.3105,0.8499885
0.02440385,0,0.31725,0.866102,0.31725,0.6324559,0.31725,0.169192,0.02440385,0,0.31725,0.8741588,0.31725,-0.2618448,0.31725,0.09265278,0.02440385,0,0.31725,0.08459602,0.31725,0.8056763,0.31725,0.8822156,0.02440385,0,0.31725,-0.2699016,0.31725,-0.7210803,0.31725,0.8499885
0.02492308,0,0.324,0.8580453,0.324,0.6364843,0.324,0.169192,0.02492308,0,0.324,0.8741588,0.324,-0.2618448,0.324,0.09265278,0.02492308,0,0.324,0.0886244,0.324,0.8056763,0.324,0.8741588,0.02492308,0,0.324,-0.2779583,0.324,-0.7251087,0.324,0.8540169
0.02544231,0,0.33075,0.8580453,0.33075,0.6324559,0.33075,0.1611353,0.02544231,0,0.33075,0.8741588,0.33075,-0.2497597,0.33075,0.09265278,0.02544231,0,0.33075,0.0886244,0.33075,0.8056763,0.33075,0.8741588,0.02544231,0,0.33075,-0.27393,0.33075,-0.7331654,0.33075,0.8499885
0.02596154,0,0.3375,0.866102,0.3375,0.6324559,0.3375,0.169192,0.02596154,0,0.3375,0.8701304,0.3375,-0.2618448,0.3375,0.0886244,0.02596154,0,0.3375,0.09265278,0.3375,0.8056763,0.3375,0.8822156,0.02596154,0,0.3375,-0.2699016,0.3375,-0.7251087,0.3375,0.8540169
0.02648077,0,0.34425,0.866102,0.34425,0.6324559,0.34425,0.1732204,0.02648077,0,0.34425,0.8580453,0.34425,-0.2578164,0.34425,0.08459602,0.02648077,0,0.34425,0.09265278,0.34425,0.8056763,0.34425,0.8822156,0.02648077,0,0.34425,-0.2699016,0.34425,-0.7251087,0.34425,0.8499885
0.027,1.443503E-05,0.351,0.8580453,0.351,0.6324559,0.351,0.1651637,0.027,-2.534523E-05,0.351,0.8741588,0.351,-0.2578164,0.351,0.09265278,0.027,-1.225299E-05,0.351,0.0886244,0.351,0.801648,0.351,0.8862439,0.027,1.040665E-05,0.351,-0.27393,0.351,-0.7251087,0.351,0.8499885
0.02751923,1.443503E-05,0.35775,0.8580453,0.35775,0.6364843,0.35775,0.169192,0.02751923,-2.433814E-05,0.35775,0.8781872,0.35775,-0.2497597,0.35775,0.0886244,0.02751923,-1.12459E-05,0.35775,0.08459602,0.35775,0.8056763,0.35775,0.8781872,0.02751923,1.15816E-05,0.35775,-0.2699016,0.35775,-0.7251087,0.35775,0.8459601
0.02803846,1.326009E-05,0.3645,0.8620737,0.3645,0.6364843,0.3645,0.1772488,0.02803846,-2.500954E-05,0.3645,0.8701304,0.3645,-0.2457313,0.3645,0.0886244,0.02803846,-1.141375E-05,0.3645,0.0886244,0.3645,0.801648,0.3645,0.8741588,0.02803846,1.19173E-05,0.3645,-0.27393,0.3645,-0.7170519,0.3645,0.8540169
