X[s],"L GASTROCNEMIUS LATERAL HEAD: EMG 11",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.X",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Y",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Z",X[s],"L GASTROCNEMIUS MEDIAL HEAD: EMG 12",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.X",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Y",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Z",X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0,0.0005192308,0,0.00675,0,0.00675,0,0.00675,0
0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0,0.001038462,0,0.0135,0,0.0135,0,0.0135,0
0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0,0.001557692,0,0.02025,0,0.02025,0,0.02025,0
0.002076923,0,0.027,0.8379034,0.027,0.6566262,0.027,0.169192,0.002076923,0,0.027,0.8741588,0.027,-0.221561,0.027,0.05639734,0.002076923,0,0.027,0.09265278,0.027,0.7815061,0.027,0.9104142,0.002076923,0,0.027,-0.2658732,0.027,-0.7452506,0.027,0.8298466
0.002596154,0,0.03375,0.8499885,0.03375,0.6606546,0.03375,0.1571069,0.002596154,0,0.03375,0.8741588,0.03375,-0.221561,0.03375,0.06042573,0.002596154,0,0.03375,0.0886244,0.03375,0.7815061,0.03375,0.9063858,0.002596154,0,0.03375,-0.2699016,0.03375,-0.7412222,0.03375,0.8258182
0.003115385,0,0.0405,0.8459601,0.0405,0.6566262,0.0405,0.1611353,0.003115385,0,0.0405,0.8781872,0.0405,-0.2296178,0.0405,0.05639734,0.003115385,0,0.0405,0.09668116,0.0405,0.7855344,0.0405,0.9063858,0.003115385,0,0.0405,-0.2618448,0.0405,-0.7371938,0.0405,0.8217899
0.003634615,0,0.04725,0.8459601,0.04725,0.6606546,0.04725,0.1611353,0.003634615,0,0.04725,0.8741588,0.04725,-0.2255894,0.04725,0.05639734,0.003634615,0,0.04725,0.09265278,0.04725,0.7815061,0.04725,0.9063858,0.003634615,0,0.04725,-0.2578164,0.04725,-0.7412222,0.04725,0.8298466
0.004153846,0,0.054,0.8459601,0.054,0.6606546,0.054,0.1611353,0.004153846,0,0.054,0.8741588,0.054,-0.2296178,0.054,0.05236896,0.004153846,0,0.054,0.0886244,0.054,0.7774777,0.054,0.8983291,0.004153846,0,0.054,-0.2618448,0.054,-0.7412222,0.054,0.8258182
0.004673077,0,0.06075,0.8459601,0.06075,0.6566262,0.06075,0.1571069,0.004673077,0,0.06075,0.8701304,0.06075,-0.2296178,0.06075,0.05639734,0.004673077,0,0.06075,0.09668116,0.06075,0.7774777,0.06075,0.9063858,0.004673077,0,0.06075,-0.2699016,0.06075,-0.7452506,0.06075,0.8258182
0.005192308,0,0.0675,0.8499885,0.0675,0.6525978,0.0675,0.169192,0.005192308,0,0.0675,0.8741588,0.0675,-0.2296178,0.0675,0.05639734,0.005192308,0,0.0675,0.0886244,0.0675,0.7734493,0.0675,0.9104142,0.005192308,0,0.0675,-0.2699016,0.0675,-0.749279,0.0675,0.8217899
0.005711539,0,0.07425,0.8499885,0.07425,0.664683,0.07425,0.169192,0.005711539,0,0.07425,0.8781872,0.07425,-0.2255894,0.07425,0.05639734,0.005711539,0,0.07425,0.08459602,0.07425,0.7774777,0.07425,0.9063858,0.005711539,0,0.07425,-0.27393,0.07425,-0.7452506,0.07425,0.8217899
0.006230769,0,0.081,0.8419318,0.081,0.664683,0.081,0.1651637,0.006230769,0,0.081,0.8741588,0.081,-0.2296178,0.081,0.04834058,0.006230769,0,0.081,0.08459602,0.081,0.7855344,0.081,0.9144427,0.006230769,0,0.081,-0.27393,0.081,-0.7371938,0.081,0.8177615
0.00675,0,0.08775,0.8459601,0.08775,0.664683,0.08775,0.1571069,0.00675,0,0.08775,0.866102,0.08775,-0.2376745,0.08775,0.05236896,0.00675,0,0.08775,0.0886244,0.08775,0.7895628,0.08775,0.9063858,0.00675,0,0.08775,-0.2658732,0.08775,-0.7452506,0.08775,0.8258182
0.007269231,0,0.0945,0.8459601,0.0945,0.6525978,0.0945,0.1611353,0.007269231,0,0.0945,0.8701304,0.0945,-0.2296178,0.0945,0.06042573,0.007269231,0,0.0945,0.0886244,0.0945,0.7815061,0.0945,0.9023575,0.007269231,0,0.0945,-0.27393,0.0945,-0.7331654,0.0945,0.8298466
0.007788462,0,0.10125,0.8499885,0.10125,0.6525978,0.10125,0.1611353,0.007788462,0,0.10125,0.8701304,0.10125,-0.2296178,0.10125,0.06445411,0.007788462,0,0.10125,0.0886244,0.10125,0.7815061,0.10125,0.9063858,0.007788462,0,0.10125,-0.27393,0.10125,-0.7412222,0.10125,0.8258182
0.008307693,0,0.108,0.8419318,0.108,0.6566262,0.108,0.1611353,0.008307693,0,0.108,0.8701304,0.108,-0.2376745,0.108,0.05639734,0.008307693,0,0.108,0.08459602,0.108,0.7734493,0.108,0.9104142,0.008307693,0,0.108,-0.2699016,0.108,-0.749279,0.108,0.8298466
0.008826924,0,0.11475,0.8419318,0.11475,0.6606546,0.11475,0.1571069,0.008826924,0,0.11475,0.8741588,0.11475,-0.2296178,0.11475,0.0443122,0.008826924,0,0.11475,0.08459602,0.11475,0.7734493,0.11475,0.9063858,0.008826924,0,0.11475,-0.2658732,0.11475,-0.7371938,0.11475,0.833875
0.009346154,0,0.1215,0.8459601,0.1215,0.6525978,0.1215,0.1571069,0.009346154,0,0.1215,0.8822156,0.1215,-0.2336462,0.1215,0.04834058,0.009346154,0,0.1215,0.09265278,0.1215,0.7774777,0.1215,0.9104142,0.009346154,0,0.1215,-0.2658732,0.1215,-0.7452506,0.1215,0.8258182
0.009865385,0,0.12825,0.8459601,0.12825,0.6606546,0.12825,0.1611353,0.009865385,0,0.12825,0.8741588,0.12825,-0.2255894,0.12825,0.04834058,0.009865385,0,0.12825,0.0886244,0.12825,0.7774777,0.12825,0.9063858,0.009865385,0,0.12825,-0.2699016,0.12825,-0.7452506,0.12825,0.8258182
0.01038462,0,0.135,0.8459601,0.135,0.6687114,0.135,0.169192,0.01038462,0,0.135,0.8781872,0.135,-0.2336462,0.135,0.04028382,0.01038462,0,0.135,0.0886244,0.135,0.7734493,0.135,0.9063858,0.01038462,0,0.135,-0.2658732,0.135,-0.7412222,0.135,0.8258182
0.01090385,0,0.14175,0.8419318,0.14175,0.6727397,0.14175,0.1651637,0.01090385,0,0.14175,0.8741588,0.14175,-0.2296178,0.14175,0.04028382,0.01090385,0,0.14175,0.09265278,0.14175,0.7774777,0.14175,0.9023575,0.01090385,0,0.14175,-0.2699016,0.14175,-0.7452506,0.14175,0.8177615
0.01142308,0,0.1485,0.8419318,0.1485,0.6727397,0.1485,0.1651637,0.01142308,0,0.1485,0.8781872,0.1485,-0.2255894,0.1485,0.04834058,0.01142308,0,0.1485,0.09265278,0.1485,0.7734493,0.1485,0.9063858,0.01142308,0,0.1485,-0.2699016,0.1485,-0.7412222,0.1485,0.8137331
0.01194231,0,0.15525,0.833875,0.15525,0.6687114,0.15525,0.169192,0.01194231,0,0.15525,0.8822156,0.15525,-0.2296178,0.15525,0.04834058,0.01194231,0,0.15525,0.09265278,0.15525,0.7734493,0.15525,0.9104142,0.01194231,0,0.15525,-0.2658732,0.15525,-0.749279,0.15525,0.8177615
0.01246154,0,0.162,0.833875,0.162,0.6807965,0.162,0.1651637,0.01246154,0,0.162,0.8741588,0.162,-0.2336462,0.162,0.0443122,0.01246154,0,0.162,0.09668116,0.162,0.7694209,0.162,0.9104142,0.01246154,0,0.162,-0.2658732,0.162,-0.7412222,0.162,0.8258182
0.01298077,0,0.16875,0.8298466,0.16875,0.6727397,0.16875,0.1651637,0.01298077,0,0.16875,0.866102,0.16875,-0.2296178,0.16875,0.0443122,0.01298077,0,0.16875,0.0886244,0.16875,0.7774777,0.16875,0.9063858,0.01298077,0,0.16875,-0.2658732,0.16875,-0.7452506,0.16875,0.8217899
0.0135,0,0.1755,0.8379034,0.1755,0.664683,0.1755,0.1571069,0.0135,0,0.1755,0.8741588,0.1755,-0.2336462,0.1755,0.04834058,0.0135,0,0.1755,0.09668116,0.1755,0.7774777,0.1755,0.9104142,0.0135,0,0.1755,-0.2658732,0.1755,-0.749279,0.1755,0.8258182
0.01401923,0,0.18225,0.8419318,0.18225,0.6606546,0.18225,0.1571069,0.01401923,0,0.18225,0.8822156,0.18225,-0.2296178,0.18225,0.05639734,0.01401923,0,0.18225,0.09265278,0.18225,0.7774777,0.18225,0.9063858,0.01401923,0,0.18225,-0.2699016,0.18225,-0.7412222,0.18225,0.8217899
0.01453846,0,0.189,0.8459601,0.189,0.6687114,0.189,0.1571069,0.01453846,0,0.189,0.8741588,0.189,-0.2336462,0.189,0.05236896,0.01453846,0,0.189,0.09265278,0.189,0.7815061,0.189,0.9063858,0.01453846,0,0.189,-0.2658732,0.189,-0.749279,0.189,0.8177615
0.01505769,0,0.19575,0.8459601,0.19575,0.664683,0.19575,0.1611353,0.01505769,0,0.19575,0.8701304,0.19575,-0.2376745,0.19575,0.04834058,0.01505769,0,0.19575,0.08459602,0.19575,0.7855344,0.19575,0.9023575,0.01505769,0,0.19575,-0.2658732,0.19575,-0.7412222,0.19575,0.8258182
0.01557692,0,0.2025,0.8419318,0.2025,0.664683,0.2025,0.1571069,0.01557692,0,0.2025,0.8741588,0.2025,-0.2417029,0.2025,0.04834058,0.01557692,0,0.2025,0.0886244,0.2025,0.7815061,0.2025,0.9063858,0.01557692,0,0.2025,-0.2658732,0.2025,-0.7452506,0.2025,0.8217899
0.01609615,0,0.20925,0.8459601,0.20925,0.6566262,0.20925,0.1450217,0.01609615,0,0.20925,0.8741588,0.20925,-0.2417029,0.20925,0.06042573,0.01609615,0,0.20925,0.0886244,0.20925,0.7774777,0.20925,0.9063858,0.01609615,0,0.20925,-0.2618448,0.20925,-0.7412222,0.20925,0.8258182
0.01661539,0,0.216,0.8459601,0.216,0.6606546,0.216,0.1571069,0.01661539,0,0.216,0.8741588,0.216,-0.2376745,0.216,0.04834058,0.01661539,0,0.216,0.09265278,0.216,0.7734493,0.216,0.9023575,0.01661539,0,0.216,-0.2658732,0.216,-0.7371938,0.216,0.8298466
0.01713462,0,0.22275,0.8459601,0.22275,0.6687114,0.22275,0.1571069,0.01713462,0,0.22275,0.8741588,0.22275,-0.2457313,0.22275,0.0443122,0.01713462,0,0.22275,0.09265278,0.22275,0.7815061,0.22275,0.9023575,0.01713462,0,0.22275,-0.2658732,0.22275,-0.7412222,0.22275,0.8258182
0.01765385,0,0.2295,0.8419318,0.2295,0.664683,0.2295,0.1571069,0.01765385,0,0.2295,0.8822156,0.2295,-0.2376745,0.2295,0.05236896,0.01765385,0,0.2295,0.09265278,0.2295,0.7774777,0.2295,0.9104142,0.01765385,0,0.2295,-0.2699016,0.2295,-0.7452506,0.2295,0.8298466
0.01817308,0,0.23625,0.8459601,0.23625,0.6687114,0.23625,0.1530785,0.01817308,0,0.23625,0.8781872,0.23625,-0.2417029,0.23625,0.04834058,0.01817308,0,0.23625,0.09668116,0.23625,0.7815061,0.23625,0.9104142,0.01817308,0,0.23625,-0.2578164,0.23625,-0.7452506,0.23625,0.8258182
0.01869231,0,0.243,0.8459601,0.243,0.6687114,0.243,0.1651637,0.01869231,0,0.243,0.8620737,0.243,-0.2376745,0.243,0.0443122,0.01869231,0,0.243,0.09668116,0.243,0.7855344,0.243,0.9023575,0.01869231,0,0.243,-0.2658732,0.243,-0.7412222,0.243,0.8298466
0.01921154,0,0.24975,0.8419318,0.24975,0.6727397,0.24975,0.1571069,0.01921154,0,0.24975,0.8701304,0.24975,-0.2336462,0.24975,0.04834058,0.01921154,0,0.24975,0.09668116,0.24975,0.7855344,0.24975,0.9104142,0.01921154,0,0.24975,-0.2699016,0.24975,-0.7452506,0.24975,0.8177615
0.01973077,0,0.2565,0.833875,0.2565,0.6727397,0.2565,0.1530785,0.01973077,0,0.2565,0.8701304,0.2565,-0.2336462,0.2565,0.0443122,0.01973077,0,0.2565,0.09668116,0.2565,0.7774777,0.2565,0.9063858,0.01973077,0,0.2565,-0.2658732,0.2565,-0.7331654,0.2565,0.8217899
0.02025,0,0.26325,0.8419318,0.26325,0.664683,0.26325,0.1530785,0.02025,0,0.26325,0.8741588,0.26325,-0.2376745,0.26325,0.0443122,0.02025,0,0.26325,0.09265278,0.26325,0.7774777,0.26325,0.9023575,0.02025,0,0.26325,-0.2699016,0.26325,-0.7371938,0.26325,0.8298466
0.02076923,0,0.27,0.8499885,0.27,0.6727397,0.27,0.1611353,0.02076923,0,0.27,0.8741588,0.27,-0.2336462,0.27,0.05639734,0.02076923,0,0.27,0.09265278,0.27,0.7855344,0.27,0.9063858,0.02076923,0,0.27,-0.2618448,0.27,-0.749279,0.27,0.8258182
0.02128846,0,0.27675,0.8459601,0.27675,0.664683,0.27675,0.1571069,0.02128846,0,0.27675,0.8781872,0.27675,-0.2376745,0.27675,0.0443122,0.02128846,0,0.27675,0.09668116,0.27675,0.7855344,0.27675,0.9023575,0.02128846,0,0.27675,-0.2658732,0.27675,-0.7412222,0.27675,0.8217899
0.02180769,0,0.2835,0.8499885,0.2835,0.664683,0.2835,0.1530785,0.02180769,0,0.2835,0.8741588,0.2835,-0.2296178,0.2835,0.04834058,0.02180769,0,0.2835,0.09265278,0.2835,0.7815061,0.2835,0.9104142,0.02180769,0,0.2835,-0.2658732,0.2835,-0.749279,0.2835,0.8217899
0.02232692,0,0.29025,0.8459601,0.29025,0.664683,0.29025,0.1571069,0.02232692,0,0.29025,0.8741588,0.29025,-0.2376745,0.29025,0.0443122,0.02232692,0,0.29025,0.09265278,0.29025,0.7774777,0.29025,0.9104142,0.02232692,0,0.29025,-0.2699016,0.29025,-0.7412222,0.29025,0.8298466
0.02284615,0,0.297,0.8499885,0.297,0.6606546,0.297,0.1611353,0.02284615,0,0.297,0.8701304,0.297,-0.2376745,0.297,0.06445411,0.02284615,0,0.297,0.0886244,0.297,0.7774777,0.297,0.9063858,0.02284615,0,0.297,-0.2699016,0.297,-0.7452506,0.297,0.8258182
0.02336538,0,0.30375,0.8459601,0.30375,0.6606546,0.30375,0.1571069,0.02336538,0,0.30375,0.8741588,0.30375,-0.2296178,0.30375,0.05639734,0.02336538,0,0.30375,0.0886244,0.30375,0.7855344,0.30375,0.9063858,0.02336538,0,0.30375,-0.2618448,0.30375,-0.7412222,0.30375,0.8298466
0.02388461,0,0.3105,0.8379034,0.3105,0.664683,0.3105,0.1530785,0.02388461,0,0.3105,0.8701304,0.3105,-0.2296178,0.3105,0.05236896,0.02388461,0,0.3105,0.0886244,0.3105,0.7774777,0.3105,0.8983291,0.02388461,0,0.3105,-0.27393,0.3105,-0.7412222,0.3105,0.8217899
0.02440385,0,0.31725,0.8419318,0.31725,0.6606546,0.31725,0.1450217,0.02440385,0,0.31725,0.8781872,0.31725,-0.2255894,0.31725,0.05639734,0.02440385,0,0.31725,0.0886244,0.31725,0.7734493,0.31725,0.9063858,0.02440385,0,0.31725,-0.2658732,0.31725,-0.749279,0.31725,0.8217899
0.02492308,0,0.324,0.8459601,0.324,0.6606546,0.324,0.1571069,0.02492308,0,0.324,0.8701304,0.324,-0.2376745,0.324,0.05236896,0.02492308,0,0.324,0.09265278,0.324,0.7734493,0.324,0.9104142,0.02492308,0,0.324,-0.2658732,0.324,-0.7452506,0.324,0.8298466
0.02544231,0,0.33075,0.8459601,0.33075,0.6687114,0.33075,0.1571069,0.02544231,0,0.33075,0.8781872,0.33075,-0.221561,0.33075,0.05236896,0.02544231,0,0.33075,0.09668116,0.33075,0.7774777,0.33075,0.9104142,0.02544231,0,0.33075,-0.27393,0.33075,-0.749279,0.33075,0.8258182
0.02596154,0,0.3375,0.8419318,0.3375,0.664683,0.3375,0.1611353,0.02596154,0,0.3375,0.8862439,0.3375,-0.2296178,0.3375,0.05236896,0.02596154,0,0.3375,0.09265278,0.3375,0.7734493,0.3375,0.9104142,0.02596154,0,0.3375,-0.2699016,0.3375,-0.749279,0.3375,0.8217899
0.02648077,0,0.34425,0.8459601,0.34425,0.6687114,0.34425,0.1571069,0.02648077,0,0.34425,0.8781872,0.34425,-0.2376745,0.34425,0.05639734,0.02648077,0,0.34425,0.09265278,0.34425,0.7774777,0.34425,0.9063858,0.02648077,0,0.34425,-0.2658732,0.34425,-0.7452506,0.34425,0.8177615
0.027,1.275654E-05,0.351,0.8419318,0.351,0.6687114,0.351,0.1651637,0.027,-2.719158E-05,0.351,0.8701304,0.351,-0.2296178,0.351,0.05236896,0.027,-1.242084E-05,0.351,0.09265278,0.351,0.7815061,0.351,0.9023575,0.027,1.02388E-05,0.351,-0.2699016,0.351,-0.7452506,0.351,0.8217899
0.02751923,1.292439E-05,0.35775,0.8419318,0.35775,0.664683,0.35775,0.1651637,0.02751923,-2.803082E-05,0.35775,0.8781872,0.35775,-0.2255894,0.35775,0.0443122,0.02751923,-1.225299E-05,0.35775,0.09265278,0.35775,0.7774777,0.35775,0.9063858,0.02751923,9.903106E-06,0.35775,-0.2618448,0.35775,-0.7412222,0.35775,0.8217899
0.02803846,1.359579E-05,0.3645,0.8419318,0.3645,0.664683,0.3645,0.169192,0.02803846,-2.702373E-05,0.3645,0.8822156,0.3645,-0.221561,0.3645,0.0443122,0.02803846,-1.409934E-05,0.3645,0.09265278,0.3645,0.7815061,0.3645,0.9104142,0.02803846,9.903106E-06,0.3645,-0.2699016,0.3645,-0.7452506,0.3645,0.8217899
