1	2	3	4	5	6	7	8	9	10	11	12	13
305	3	4	1	1	1.041	-0.3658	0.1653	0.06502	1.407	0.6756	0.2303	0.1003
305	3	4	1	2	-1.372	1.423	0.5032	0.267	-2.795	0.05054	0.5669	0.5725
305	3	4	1	3	-5.424	6.344	1.003	1.645	-11.77	0.9192	2.62	0.7486
305	3	4	1	4	-1.257	1.023	0.4312	0.1738	-2.28	-0.234	0.5553	0.3521
305	3	4	1	5	-4.909	5.333	0.8715	1.168	-10.24	0.4242	1.97	0.6051
305	3	4	1	6	-1.904	0.437	0.3945	0.1824	-2.341	-1.467	0.4621	0.4053
305	3	4	1	7	-2.163	3.969	0.3951	0.6474	-6.133	1.806	0.7317	0.7843
305	3	4	1	8	-2.115	0.2316	0.3562	0.1462	-2.346	-1.883	0.3776	0.3922
305	3	4	1	9	-1.999	3.231	0.4067	0.6382	-5.229	1.232	0.586	0.8956
305	3	4	1	10	-1.603	0.7826	0.3542	0.1462	-2.385	-0.8202	0.3157	0.4404
305	3	4	1	11	-2.572	1.494	0.3467	0.4039	-4.067	-1.078	0.5013	0.5615
305	3	4	1	12	-0.9521	0.5882	0.2916	0.1153	-1.54	-0.3639	0.3148	0.3123
305	3	4	1	13	-4.024	1.763	0.3165	0.5292	-5.786	-2.261	0.8074	0.3294
305	3	4	1	14	-1.992	0.7446	0.2711	0.2311	-2.737	-1.248	0.4163	0.2836
305	3	4	1	15	-2.59	2.452	0.3709	0.6845	-5.041	-0.1377	0.913	0.6152
305	3	4	1	16	-21.78	45.86	9.318	20.82	-67.64	24.08	30.08	11.67
305	3	4	2	1	1.014	-0.3111	0.1872	0.07363	1.325	0.7029	0.2608	0.1135
305	3	4	2	2	-1.28	1.385	0.4935	0.2815	-2.666	0.1048	0.5784	0.5577
305	3	4	2	3	-5.235	6.181	1.166	1.797	-11.42	0.946	2.934	0.758
305	3	4	2	4	-1.125	0.9906	0.428	0.1876	-2.116	-0.1344	0.5624	0.3471
